id(お仕事登録番号),occupation(職種),description(仕事内容),environment(開発環境),required_skill(必須スキル),recommended_skill(推奨スキル)
1,システムエンジニア,"アプリケーションを開発/設計して頂きます。
プロジェクトは既に進行中のため、設計/開発フェーズでの参画となります。","OS: Linux (Cent OS)
開発言語：Ruby, Golang, Lua, C/C++","・Lightweight Language 3年以上
・Web API 開発経験
・標準的なWeb技術 (REST)
・設計経験あり
・Devopsツールの利用経験（Circle CI, Ansibleなど）",特になし
2,プログラマー,各種アプリ開発 （PHP）,開発言語：php,"phpでの実務経験が少しでもある方（※未経験不可）
やる気と人柄",特になし
3,システムエンジニア,ポータルサイト開発（Java部分）,開発言語：Java,"・Java、SQL
・Webシステム構築経験
やる気と人柄
※ある程度スキルある方を探しております",HTML/JavaScriptの理解／作成経験
4,プログラマー,大手メディア企業,,,
5,システムエンジニア,iOSエンジニア,開発言語：Java,"・iOSアプリ開発(Objective-Cでのネイティブアプリの開発)業務半年以上
・iOSアプリでデータ処理およびネットワーク処理、WebAPI連携を実装したことのある方
・Objective-C、オブジェクト指向言語の開発の経験あり
・Swift実業務のご経験もしくは個人的にSwiftを学習されている方、アプリ制作されている方",
6,システムエンジニア,Androidエンジニアリーダー,開発言語：Java,"・Androidアプリ開発(Javaでのネイティブアプリの開発)業務１年以上
・Androidアプリでデータ処理およびネットワーク処理、WebAPI連携を実装したことのある方
・Androidアプリ開発チーム（３名以上）のリーダー経験がある方
・複数人で開発するアプリの要件定義および基礎設計を行ったことがある方",
7,システムエンジニア,iOSエンジニア（Swift）,開発言語：Java,"・iOSアプリ開発(Swiftでの開発)業務半年以上
・iOSアプリでデータ処理およびネットワーク処理、WebAPI連携を実装したことのある方
・Objective-C、オブジェクト指向言語の開発の経験あり",
8,システムエンジニア,Andoroidエンジニア,開発言語：Java,"・Androidアプリ開発(Javaでのネイティブアプリの開発)業務３年以上
・Androidアプリでデータ処理およびネットワーク処理、WebAPI連携を実装したことのある方
・Java、オブジェクト指向言語の開発の経験あり",
9,事務,"・会議の案内
・議事録作成
・Excelの更新、集計
・PowerPointの更新
・Notesの権限設定 等","Excel,PowerPoint","・議事録作成
・Excel PowerPointの修正作業",
10,プログラマー,新規ソーシャルゲームの立ち上げやリリース後の運用改善をお任せ致します。,,・ソーシャルゲームの開発・運営事業経験2年以上,
